Jilid,Page,PageRole,Slot,ObjectID,CanonicalKey,ObjectType,ArabicObject,PrimaryCompetency,ReviewCompetencies,SourceRef,Status,Notes
1,4,LETTER_REMAINING_AND_REVIEW,6,J1-P04-S06,60ede3b44d4fa4d0d266,LETTER,وُ,C0004,C0001,2:16,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,7,J1-P04-S07,59afbe3d9ffed7d70ac1,LETTER,يَ,C0002,C0001,1:4,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,8,J1-P04-S08,3c2c8d3e5320c3c25732,LETTER,يِ,C0003,C0001,2:28,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,9,J1-P04-S09,8479a86207776a2da552,LETTER,يُ,C0004,C0001,2:3,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,10,J1-P04-S10,8f862e56588e11edfa7b,LETTER,ءَ,C0002,C0001,2:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,11,J1-P04-S11,9c05358ede4d09afb78c,LETTER,ءِ,C0003,C0001,2:19,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,12,J1-P04-S12,7de94f8e86e0fbb0c51f,LETTER,ءُ,C0004,C0001,2:13,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,13,J1-P04-S13,301e1ec3d241993fb30b,LETTER,أَ,C0002,C0001,1:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,14,J1-P04-S14,b1c52c7ac7ee3a8f70a9,LETTER,أُ,C0004,C0001,2:4,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,15,J1-P04-S15,03ff3aad020c1467b0f4,LETTER,إِ,C0003,C0001,1:5,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,16,J1-P04-S16,654ca6a3c835a03d8e1d,LETTER,ؤَ,C0002,C0001,2:225,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,17,J1-P04-S17,0aab9e52632ecdeb9143,LETTER,ؤِ,C0003,C0001,56:23,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,18,J1-P04-S18,7095de44c7e586f0a8c8,LETTER,ؤُ,C0004,C0001,2:31,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,19,J1-P04-S19,405aa1fd432f51b1630b,LETTER,ئَ,C0002,C0001,2:81,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,20,J1-P04-S20,3bce9127740640aa8c90,LETTER,ئِ,C0003,C0001,2:5,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,21,J1-P04-S21,46cc6319ab94982a0426,LETTER,ئُ,C0004,C0001,2:15,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
